epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7822,1.87958,3.60376,1.76882,0.00433,1,0.03619,0.01731,1.67159,3.6181,1.66272,8e-05,8e-05,8e-05
2,23.836,1.63115,3.27868,1.65968,0.00433,1,0.21453,0.10665,1.44296,3.29874,1.49965,0.000178812,0.000178812,0.000178812
3,33.3356,1.45906,2.73198,1.49921,0.00433,1,0.50808,0.20887,1.4402,3.27138,1.48908,0.000276304,0.000276304,0.000276304
4,41.6634,1.43214,2.49104,1.50464,0.00433,1,0.55998,0.18929,1.44338,3.17378,1.39174,0.000372476,0.000372476,0.000372476
5,50.7306,1.35388,2.26722,1.41586,0.00433,1,0.32842,0.13867,1.49539,3.25833,1.51509,0.000467328,0.000467328,0.000467328
6,60.0194,1.21884,1.92258,1.29941,0.00433,1,0.24973,0.12204,1.58446,3.34792,1.61271,0.00056086,0.00056086,0.00056086
7,69.2212,1.23107,1.90066,1.29094,0.004,0.92308,0.20492,0.09948,1.33868,3.4233,1.36905,0.000653072,0.000653072,0.000653072
8,78.0932,1.33622,1.87909,1.31809,0.33036,0.07692,0.20056,0.07396,1.45128,3.28262,1.38801,0.000743964,0.000743964,0.000743964
9,87.3357,1.23126,1.98431,1.32439,0.76588,0.38462,0.50241,0.23527,1.5602,2.63795,1.33959,0.000833536,0.000833536,0.000833536
10,96.9884,1.24546,1.82008,1.2703,0.33368,0.30769,0.1467,0.08262,1.61366,3.48477,1.50354,0.000921788,0.000921788,0.000921788
11,106.311,1.30825,1.83888,1.37065,0.10185,0.15385,0.06233,0.04229,1.84659,3.90868,1.60937,0.00100872,0.00100872,0.00100872
12,115.358,1.26927,1.81381,1.28074,0.37318,0.46154,0.34428,0.17873,1.73197,3.13981,1.4965,0.00109433,0.00109433,0.00109433
13,125.302,1.37284,1.92542,1.41593,0.14328,0.30769,0.09441,0.04001,1.65798,3.43136,1.52895,0.00117862,0.00117862,0.00117862
14,134.345,1.26256,1.79706,1.37298,0.46849,0.46154,0.33757,0.19292,1.78286,2.84358,1.44289,0.0012616,0.0012616,0.0012616
15,143.624,1.33784,1.78873,1.3767,0.79424,0.29882,0.2707,0.15371,1.85466,3.14359,1.71424,0.00134325,0.00134325,0.00134325
16,152.878,1.24901,1.72632,1.288,1,0.153,0.16406,0.10262,2.07801,3.5108,2.16374,0.00142358,0.00142358,0.00142358
17,162.706,1.36825,1.92967,1.38817,0.05071,0.07692,0.01092,0.00197,2.36423,4.5075,2.49644,0.00150259,0.00150259,0.00150259
18,172.117,1.34176,1.76539,1.30785,0.0844,0.15385,0.03873,0.01395,2.06749,3.84074,2.20435,0.00158028,0.00158028,0.00158028
19,181.497,1.40609,1.74985,1.39552,0.70546,0.23077,0.26273,0.1579,1.73733,3.57892,1.73297,0.00165666,0.00165666,0.00165666
20,190.664,1.31581,1.68158,1.29693,0.30687,0.30769,0.21966,0.10652,1.63232,3.43495,1.63829,0.00173171,0.00173171,0.00173171
21,199.967,1.32005,1.60178,1.31011,0.24091,0.07692,0.11252,0.06822,1.61159,5.40931,1.67497,0.001736,0.001736,0.001736
