epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5022,1.86493,3.94997,1.7561,0.00508,0.38462,0.00942,0.00373,1.64548,4.05512,1.68836,6.668e-05,6.668e-05,6.668e-05
2,68.3222,1.63333,3.68371,1.69169,0.00898,0.76923,0.08813,0.03841,1.39916,3.809,1.51347,0.000147059,0.000147059,0.000147059
3,98.9278,1.39488,3.06347,1.46686,0.00885,0.92308,0.50739,0.24973,1.33183,3.4168,1.34732,0.000224138,0.000224138,0.000224138
4,125.976,1.4739,2.71908,1.47928,0.00902,1,0.72077,0.30413,1.32782,3.25284,1.29743,0.000297916,0.000297916,0.000297916
5,176.678,1.43336,2.53164,1.43741,0.00957,1,0.76944,0.38053,1.32842,3.2596,1.21961,0.000368394,0.000368394,0.000368394
6,228.445,1.22542,2.12817,1.27819,0.01005,1,0.62711,0.34055,1.2858,3.22531,1.2228,0.00043557,0.00043557,0.00043557
7,279.905,1.23015,1.98933,1.28711,1,0.14069,0.4445,0.1983,1.59622,3.55189,1.45651,0.000499447,0.000499447,0.000499447
8,330.283,1.29061,1.93818,1.28739,0.66084,0.30769,0.42813,0.18931,1.58302,3.60355,1.50017,0.000560022,0.000560022,0.000560022
9,385.619,1.16451,1.94301,1.29574,0.34837,0.38462,0.42829,0.19779,1.77403,3.64305,1.58426,0.000617297,0.000617297,0.000617297
10,435.031,1.1711,1.82093,1.21277,0.09513,0.38462,0.38384,0.19185,1.86602,3.5478,1.63611,0.000671271,0.000671271,0.000671271
11,488.173,1.26943,1.85798,1.35913,0.63116,0.13746,0.2451,0.10752,1.97017,3.71334,1.73416,0.000721944,0.000721944,0.000721944
12,541.391,1.22365,1.77092,1.23982,0.97363,0.30769,0.42823,0.22236,1.7192,3.27236,1.53192,0.000769317,0.000769317,0.000769317
13,586.841,1.1836,1.96105,1.31717,0.67124,0.31509,0.53815,0.28599,1.63461,2.88719,1.34535,0.000813389,0.000813389,0.000813389
14,626.161,1.17644,1.75309,1.29181,0.42705,0.46154,0.38519,0.188,1.56467,3.07249,1.45283,0.000854161,0.000854161,0.000854161
15,672.733,1.14953,1.78756,1.2802,0.52314,0.46154,0.40941,0.16265,1.5685,3.12215,1.48029,0.000891632,0.000891632,0.000891632
16,719.231,1.02858,1.58718,1.19866,0.6659,0.46154,0.38991,0.1684,1.62548,3.01428,1.50615,0.000925802,0.000925802,0.000925802
17,767.878,1.18237,1.73041,1.29659,0.76589,0.30769,0.33687,0.16418,1.74015,3.3809,1.58179,0.000956671,0.000956671,0.000956671
18,816.395,1.16277,1.65917,1.224,0.40988,0.23077,0.21501,0.0943,1.63273,3.49956,1.52282,0.00098424,0.00098424,0.00098424
19,854.216,1.17502,1.66942,1.2625,0.22183,0.28602,0.10794,0.02567,1.91295,3.72724,1.7765,0.00100851,0.00100851,0.00100851
20,878.343,1.13775,1.53763,1.22167,0.25949,0.46154,0.28839,0.18556,1.39101,3.09003,1.25459,0.00102948,0.00102948,0.00102948
